prod_name,brand_name,marked_price,discounted_price,rating,rating_count,size,product_link,img_link
Men Knit Flex L1 Running Shoes,HRX by Hrithik Roshan,4499,2249,4.3,76,UK7,https://www.myntra.com/sports-shoes/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-white-knit-flex-l1-running-shoes/11561166/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11561166/2022/4/25/c746127d-8c0c-4a52-b451-f5d6bbf1844b1650874303915HRXbyHrithikRoshanMenWhiteKnitFlexL1RunningShoes1.jpg"
Women Solid Denim Jacket,Levis,6999,3149,4.6,1,M,https://www.myntra.com/jackets/levis/levis-x-deepika-padukone-women-blue-solid-denim-jacket/19469228/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19469228/2022/9/15/5c4a81b7-5f44-4666-93e0-479a140db1611663235815294-Levis-X-Deepika-Padukone-Women-Blue-Solid-Denim-Shacket-5316-1.jpg"
Men Loafers,ALBERTO MORENO,2999,999,4.3,42,UK8,https://www.myntra.com/casual-shoes/alberto-moreno/alberto-moreno-men-black-loafers/16689016/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16689016/2022/1/5/9a928607-9667-4526-b5e6-61689b83b6581641366301978ALBERTOMORENOMenBlackColourblockedLoafers1.jpg"
Women Printed Kurta with Churidar With Dupatta,Libas,3799,1329,4.3,1.4,XS,https://www.myntra.com/kurta-sets/libas/libas-women-white--grey-floral-printed-pure-cotton-kurta-with-churidar--with-dupatta/13747908/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13747908/2021/7/28/942b51b9-f6e1-4504-b83b-3183fa9a51791627471814483-Libas-Women-White-Printed-Kurta-with-Churidar--Dupatta-85816-1.jpg"
Bandhani Kurta With Dupatta,Stylum,2299,699,3.9,6,S,https://www.myntra.com/kurtas/stylum/stylum-bandhani-printed-kurta-with-dupatta/21054606/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21054606/2022/12/5/7ba61d0a-94c4-4afc-91e4-568dff6c4e8b1670236475052StylumWomenLimeGreenEmbroideredKeyholeNeckKurta1.jpg"
Embroidered Kurta Set,Berrylicious,3250,1350,0,0,L,https://www.myntra.com/kurta-sets/berrylicious/berrylicious-embroidered-sequinned-pure-cotton-kurta-with-trousers/21536418/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21536418/2023/1/13/9d1123fe-bda9-417e-8876-8b1cf42936ef1673599946886BerryliciousEmbroidredKurtaSet1.jpg"
Men Set of 4 EDP - 8 ml Each,BEARDO,699,594,4.2,10,Onesize,https://www.myntra.com/fragrance-gift-set/beardo/beardo-men-set-of-4-eau-de-parfum---8-ml-each/18643414/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18643414/2022/8/12/350343ac-001b-4c51-a6f8-825857e571251660285564045WELLAPROFESSIONALSEIMIDryMeVolumeDryShampooSpray-180mlFragra1.jpg"
Men Solid Motorsports Joggers,PUMA Motorsport,4999,3099,4.4,92,XS,https://www.myntra.com/track-pants/puma-motorsport/puma-motorsport-men-black-solid-bmw-mms-motorsports-joggers/11451786/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11451786/2022/11/6/b7a36d61-e267-4dc4-9166-c43418c427771667718113009PUMAMotorsportMenBlackSolidBMWMMSMotorsportsJoggers1.jpg"
Women Sneakers,Mast & Harbour,3899,2339,4.4,47,UK5,https://www.myntra.com/casual-shoes/mast--harbour/mast--harbour-women-white-sneakers/10426294/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10426294/2020/1/2/d66958dd-874f-4b8e-b34e-8929ad200f8b1577950504222MastHarbourWomenWhiteSneakers1.jpg"
Printed Straight Kurta,Jaipur Kurti,1649,725,4.2,11.9,S,https://www.myntra.com/kurtas/jaipur-kurti/jaipur-kurti-women-blue--green-printed-straight-kurta/5571465/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/5571465/2018/5/15/2ac3672a-d16d-4aec-b853-30a3f50708021526387316249-Jaipur-Kurti-Women-Turquoise-Blue--Green-Printed-Straight-Kurta-5621526387316032-1.jpg"
Vit-C Brightening Moisturizer,Biotique,250,182,4.4,5.4,50GM,https://www.myntra.com/face-moisturisers/biotique/biotique-vitamin-c-correcting-and-brightening-treatment-face-moisturizer-50-g/12679484/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12679484/2022/1/28/e7f1fceb-72d3-4527-a411-b48b0a601e261643362261026BiotiqueVitaminCCorrectingandBrighteningTreatmentFaceMoistur1.jpg"
Color Fit Icon 2 Smartwatch,NOISE,5999,2299,4.1,13,Onesize,https://www.myntra.com/smart-watches/noise/noise-black-color-fit-icon-2-calling-smartwatch/20795178/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20795178/2022/11/21/fddc1dac-87cc-4d20-bfb7-9dba9c998e4b1669020110507-Noise-ColorFit-Icon-2-Smartwatch---Midnight-Gold-16216690201-1.jpg"
Women Loose Fit High-Rise Trousers,BROADSTAR,2999,1289,4.3,2,36,https://www.myntra.com/trousers/broadstar/broadstar-women-relaxed-loose-fit-high-rise-easy-wash-trousers/21328212/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21328212/2022/12/28/7cf7dd68-ce38-4e00-8ec5-e6ce100f2a291672200348735BROADSTARWomenBlackRelaxedStraightLegLooseFitHigh-RiseEasyWa1.jpg"
Checked Kanjeevaram Pure Silk Saree,Anouk,3499,1119,4.3,1.3,Onesize,https://www.myntra.com/sarees/anouk/anouk-mustard-yellow--gold-toned-checked-zari-pure-silk-kanjeevaram-saree/15935124/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15935124/2021/12/2/a18db479-57a7-464f-98a0-e998100df5f81638426262903-Anouk-Mustard-Yellow--Gold-Toned-Checked-Zari-Pure-Silk-Kanj-1.jpg"
