prod_name,brand_name,marked_price,discounted_price,rating,rating_count,size,product_link,img_link
Slim Fit Casual Shirt,WROGN,2399.0,1439.0,4.2,54.0,39,https://www.myntra.com/shirts/wrogn/wrogn-men-charcoal-grey-slim-fit-striped-casual-shirt/11361238/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11361238/2020/3/2/222159a5-b372-422e-aa2c-8607cb7402241583139478545-WROGN-Men-Shirts-3941583139476492-1.jpg"
Women Skinny Fit High-Rise Jeans,Kraus Jeans,1995.0,1795.0,4.4,6.0,28,https://www.myntra.com/jeans/kraus-jeans/kraus-jeans-women-black-skinny-fit-high-rise-stretchable-jeans/19444380/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19444380/2022/8/9/4ea4d17b-6c4f-4696-bda8-6fd16c1cb0201660030579547WomenBlackK4014High-RiseSkinnyJeans1.jpg"
Men Handcrafted Sandals,House of Pataudi,2499.0,1199.0,4.1,5.0,UK8,https://www.myntra.com/sandals/house-of-pataudi/house-of-pataudi-men-coffee-brown-handcrafted-leather-one-toe-sandals/12501320/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12501320/2020/11/28/bf068ade-abfe-4b82-a2ca-9928428407ce1606532800780-House-of-Pataudi-Men-Coffee-Brown-Handcrafted-Leather-One-To-1.jpg"
Hyaluron Shampoo-180ml,LOreal,209.0,177.0,4.5,2.2,150-180 ML,https://www.myntra.com/shampoo-and-conditioner/loreal/loreal-paris-hyaluron-moisture-72h-moisture-filling-shampoo-with-hyaluronic-acid---180-ml/19202680/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19202680/2022/11/18/403efaa6-9f16-4b19-ad61-2ed28dad53ec1668773812470-LOreal-Paris-Hyaluron-Moisture-72H-Moisture-Filling-Shampoo--1.jpg"
Women Anarkali Kurta,KALINI,2399.0,767.0,4.2,1.2,XXL,https://www.myntra.com/kurtas/kalini/kalini-women-blue-printed-anarkali-kurta/17692812/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17692812/2022/3/31/912b1565-ee92-46c1-ad51-e90d384987701648714746463KALINIWomenBlueCold-ShoulderSleevesAnarkaliKurta1.jpg"
Women Thong Flip-Flops,Carlton London,899.0,395.0,4.3,75.0,UK6,https://www.myntra.com/flip-flops/carlton-london/carlton-london-women-black-thong-flip-flops/15570026/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15570026/2021/9/22/110438e3-1e3d-4361-9477-558085105ab21632306706656na1.jpg"
Slim Pure Cotton Formal Shirt,Louis Philippe,2399.0,1559.0,4.5,7.0,42,https://www.myntra.com/shirts/louis-philippe/louis-philippe-men-teal-blue--button-slim-fit-grid-tattersall-checked-cotton-formal-shirt/20647022/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20647022/2022/11/28/6e6fbab7-779f-4272-91f9-d801c8086caa1669613747301-Louis-Philippe-Men-Shirts-5141669613746794-1.jpg"
Men Solid Denim Jacket,LOCOMOTIVE,3549.0,958.0,4.1,55.0,S,https://www.myntra.com/jackets/locomotive/locomotive-men-olive-green-solid-jacket/10611272/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10611272/2022/12/7/f96a4113-4653-456e-94d2-55ae924a2cc41670394868665LOCOMOTIVEMenOliveGreenSolidJacket1.jpg"
Slim Fit Casual Shirt,Powerlook,1049.0,999.0,0.0,0.0,36,https://www.myntra.com/shirts/powerlook/powerlook-men-slim-fit-vertical-stripes-half-sleeves-casual-shirt/21896100/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21896100/2023/2/9/52365d96-9589-407f-a88f-99ce89f6489a1675944817177PowerlookMenBlackSlimFitCheckedCasualShirt1.jpg"
Olive Green Denim Jacket,HIGHLANDER,3799.0,987.0,3.7,13.0,S,https://www.myntra.com/jackets/highlander/highlander-men-olive-green-capulet-denim-jacket/16031126/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16031126/2022/12/7/a1e3848f-24c8-4771-a67a-b9820fd5a0141670386960224HIGHLANDERMenOliveGreenCapuletDenimJacket1.jpg"
Men Colourblocked PU Sneakers,Campus,2199.0,1999.0,4.2,8.0,UK7,https://www.myntra.com/casual-shoes/campus/campus-men-white-colourblocked-pu-sneakers/19470556/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19470556/2022/8/11/570c87b7-ccc7-4199-a499-a4b640e30deb1660210917884CAMPUSCAMPCLINTMENSWHITESNEAKER1.jpg"
Solid Knitted Top,KASSUALLY,1399.0,587.0,4.2,1.6,S,https://www.myntra.com/tops/kassually/kassually-stylish-black-solid-knitted-top/15720974/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15720974/2021/10/25/cab66906-bf9a-42a0-893c-da1cefd53cb91635139175498-KASSUALLY-Women-Tops-7011635139175211-1.jpg"
Women Sliders,Ginger by Lifestyle,,,5.0,,UK6,https://www.myntra.com/flip-flops/ginger-by-lifestyle/ginger-by-lifestyle-women-sliders/21646460/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21646460/2023/1/20/fd0342d7-64a1-4cd9-bc56-bb76a705c8601674228263232GingerbyLifestyleWomenBlackGold-TonedSliders1.jpg"
Sweetheart Neck Top,Tokyo Talkies,849.0,365.0,4.1,60.0,XS,https://www.myntra.com/tops/tokyo-talkies/tokyo-talkies-blue-sweetheart-neck-top/17143488/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17143488/2022/2/12/0ae0ecd5-b9ac-4d4e-9005-37d9c7dc142b1644662195974TokyoTalkiesBlueTop1.jpg"
Solid Polo Cotton T-shirt,Louis Philippe,1899.0,1044.0,4.2,13.0,XL,https://www.myntra.com/tshirts/louis-philippe/louis-philippe-men-maroon-solid-polo-collar-pure-cotton-t-shirt/18218284/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18218284/2022/6/2/256bdcde-3f48-415e-b435-90207725b6e91654166084510-Louis-Philippe-Men-Maroon-Polo-Collar-Pure-Cotton-T-shirt-55-1.jpg"
Crocodile Textured Duffel Bag,FUR JADEN,4000.0,1099.0,4.4,11.0,Onesize,https://www.myntra.com/duffel-bag/fur-jaden/fur-jaden-black-crocodile-textured-duffel-bag/19230164/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19230164/2022/7/23/812b9cfb-ebab-48e2-9c8d-2ff7ac2c1e801658555273412DuffelBag1.jpg"
Men Mid-Top Sneakers,HIGHLANDER,1798.0,791.0,3.5,26.0,UK10,https://www.myntra.com/casual-shoes/highlander/highlander-men-black-mid-top-casual-sneakers/14620608/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14620608/2022/12/1/1569e9f6-0697-4747-a6d1-724e7a0816f51669881520545HIGHLANDERMenBlackMid-TopCasualSneakers1.jpg"
Boyfriend Fit High-Rise Jeans,LIVE OK,1399.0,727.0,4.1,3.0,30,https://www.myntra.com/jeans/live-ok/live-ok-women-boyfriend-fit-high-rise-stretchable-jeans/21593960/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21593960/2023/1/27/0555edd3-22a9-46e6-b9e6-87b92dd72bd01674802499511-LIVE-OK-Women-Boyfriend-Fit-High-Rise-Stretchable-Jeans-2531-2.jpg"
