prod_name,brand_name,marked_price,discounted_price,rating,rating_count,size,product_link,img_link
Bullets Z2 Wireless Neckband,OnePlus,2299,1999,4.2,8,Onesize,https://www.myntra.com/headphones/oneplus/oneplus-bullets-z2-bluetooth-wireless-neckband-with-bombastic-bass--10-mins-charge/19957608/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19957608/2022/12/23/0c417867-c916-4b15-b245-3629fbe05e241671768378784-OnePlus-Unisex-Headphones-5011671768378655-3.jpg"
Hair Serum With Walnut Oil,Streax,299,269,4.5,75,80-100 ML,https://www.myntra.com/hair-serum/streax/streax-hair-serum-vitalised-with-walnut-oil-100-ml/16548100/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16548100/2022/11/2/3de7ff0c-d17c-4b46-9661-b18c1ecb2a701667386307237-Streax-Hair-Serum-Vitalised-with-Walnut-Oil-100-ml-555166738-1.jpg"
BHH880/10 Straightening Brush,Philips,3995,2476,4.4,11.1,Onesize,https://www.myntra.com/hair-appliance/philips/philips-bhh88010-heated-straightening-brush-with-thermoprotect-technology---black/10244851/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10244851/2021/2/10/32c4b366-a522-4d98-91f0-46d413de66031612945921510-Philips-Women-Heated-Straightening-Brush-with-Thermo-Protect-1.jpg"
Unisex Duke Sneakers,Puma,3999,1879,4.3,19,UK7,https://www.myntra.com/casual-shoes/puma/puma-unisex-white-duke-sneakers/16530968/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16530968/2022/3/16/e145cfd8-bc3a-43b1-86da-ba948284600b1647405987726-Puma-Unisex-White-Duke-Sneakers-4711647405987421-1.jpg"
Women Embroidered Kurta Set,SINGNI,4999,1499,4.2,32,M,https://www.myntra.com/kurta-sets/singni/singni-women-purple-ethnic-motifs-embroidered-mirror-work-kurta-with-trousers--dupatta/20695836/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20695836/2022/11/10/ba1724c2-c606-481c-a0ca-63424b61a8661668078028270WomensRayonPrintedEmbroideredKurtaWithPantAndDupatta1.jpg"
Men Slim Fit Jeans,Roadster,1699,764,3.6,19.6,30,https://www.myntra.com/jeans/roadster/roadster-men-black-slim-fit-mid-rise-clean-look-stretchable-jeans/7139482/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/7139482/2022/4/21/6ad74122-26a4-44b4-a461-e5ec6431efd01650541011059RoadsterMenBlackSlimFitMid-RiseCleanLookStretchableJeans1.jpg"
Women Printed Kurta with Palazzos With Dupatta,Libas,3999,1599,4.2,3,M,https://www.myntra.com/kurta-sets/libas/libas-women-pink-floral-printed-panelled-pure-cotton-kurta-with-palazzos--with-dupatta/16857646/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16857646/2022/10/10/f43df07a-f139-45ac-8f30-18933311c9631665400410184LibasWomenPinkFloralPrintedPanelledPureCottonKurtawithPalazz1.jpg"
Women Embroidered Kurta Set,KALINI,3699,887,4.1,85,M,https://www.myntra.com/kurta-sets/kalini/kalini-women-green-embroidered-thread-work-kurta-with-trousers--dupatta/20498352/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20498352/2022/10/22/3424a72e-8518-4853-aa99-e48a0e1205841666419466834KALINIWomenPistaGreenStraightKurtawithTrouserDupatta1.jpg"
ColorFit Icon Buzz Smart Watch,NOISE,4999,1799,4.2,6.4,Onesize,https://www.myntra.com/smart-watches/noise/noise-black-colorfit-icon-buzz-bluetooth-calling-smart-watch-with-voice-assistance/16934964/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16934964/2022/1/25/3a498e2e-7250-4e5e-aa33-1876b6d813741643102245729SmartWatches1.jpg"
Men Slim Fit Casual Sustainable Shirt,Mast & Harbour,2099,944,4.3,1.3,40,https://www.myntra.com/shirts/mast--harbour/mast--harbour-men-blue--white-slim-fit-striped-casual-sustainable-shirt/8717979/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/8717979/2019/3/20/585db9fe-1df0-458d-b218-6f514eabb9601553068826233-Mast--Harbour-Men-Shirts-4141553068825026-1.jpg"
